Matrix Size,Threads Count,Calculation Type,Average Result,Variance
1024,5,simple,6.74059,0.0
1024,6,simple,5.65125,0.0
1024,7,simple,7.10788,0.0
1024,8,simple,6.58459,0.0
1024,9,simple,5.99509,0.0
1024,10,simple,6.33234,0.0
1024,11,simple,6.09079,0.0
1024,12,simple,5.73629,0.0
1024,13,simple,6.03241,0.0
1024,14,simple,6.35785,0.0
1024,15,simple,6.14379,0.0
1024,16,simple,6.2405,0.0
1024,17,simple,6.22882,0.0
1024,18,simple,6.19609,0.0
